appid,positive_ratings,negative_ratings,total_ratings,rating_percentage
33930,14302,1211,15513,0.9219364404048218
34010,2498,517,3015,0.8285240464344942
34030,9589,936,10525,0.9110688836104514
34190,1158,199,1357,0.8533529845246868
34830,2243,1727,3970,0.5649874055415617
34870,8320,2887,11207,0.7423931471401802
34900,5296,1603,6899,0.7676474851427744
35000,2333,265,2598,0.8979984603541186
35130,2609,218,2827,0.9228864520693314
35140,24200,975,25175,0.9612711022840119
35450,20851,1387,22238,0.9376292832089217
35700,9981,438,10419,0.9579614166426721
35720,13120,596,13716,0.9565470982793818
38400,8039,468,8507,0.9449864817209357
38410,7487,471,7958,0.9408142749434532
38420,1167,285,1452,0.8037190082644629
38600,1194,131,1325,0.9011320754716982
38700,1339,177,1516,0.883245382585752
38720,955,109,1064,0.8975563909774437
38740,1511,126,1637,0.9230299328039095
39140,16429,1269,17698,0.9282969827099107
39150,5710,760,6470,0.8825347758887172
39190,2069,546,2615,0.7912045889101338
39200,1267,490,1757,0.7211155378486056
39210,41821,5407,47228,0.8855128313712205
39500,4642,1106,5748,0.8075852470424495
39510,6019,603,6622,0.9089398973119903
39540,1275,224,1499,0.8505670446964643
39680,2355,528,2883,0.8168574401664932
39690,872,674,1546,0.5640362225097024
39800,1829,239,2068,0.8844294003868471
40100,5542,792,6334,0.8749605304704768
40300,4344,508,4852,0.8953009068425392
40390,1903,470,2373,0.8019384745048462
40700,7304,339,7643,0.9556456888656287
40720,971,159,1130,0.8592920353982301
40950,5511,277,5788,0.9521423635107118
40970,9825,253,10078,0.9748958126612423
40980,1049,186,1235,0.8493927125506073
40990,4990,532,5522,0.9036580948931546
41000,4602,300,4902,0.9388004895960832
41070,15718,2084,17802,0.8829345017413773
41500,3799,345,4144,0.9167471042471043
41700,15182,517,15699,0.9670679661124912
42670,3669,300,3969,0.9244142101284959
42700,9373,1023,10396,0.9015967679876876
42910,14387,1834,16221,0.8869366870106652
42960,10427,869,11296,0.9230701133144475
44350,6515,1427,7942,0.8203223369428355
45700,1465,141,1606,0.9122042341220423
45740,2920,815,3735,0.7817938420348058
45750,1295,647,1942,0.6668383110195675
45760,6316,688,7004,0.9017704169046259
45770,1239,344,1583,0.7826910928616551
46500,2351,275,2626,0.8952779893373953
46510,957,140,1097,0.8723792160437557
47400,712,1758,2470,0.28825910931174087
47700,481,2353,2834,0.16972477064220184
47780,13576,849,14425,0.9411438474870018
47790,2758,729,3487,0.79093776885575
47810,8808,726,9534,0.9238514789175583
47870,13852,3110,16962,0.8166489800731046
47890,19655,3341,22996,0.8547138632805705
47920,1419,713,2132,0.6655722326454033
48000,19926,1427,21353,0.9331709830000469
48110,897,1170,2067,0.4339622641509434
48190,11432,1389,12821,0.8916621168395601
48240,6002,4114,10116,0.5933175168050613
48700,103693,2342,106035,0.9779129532701466
48720,7884,1152,9036,0.8725099601593626
48800,685,737,1422,0.48171589310829815
49520,160046,8307,168353,0.950657249945056
49600,4603,219,4822,0.9545831605143095
50130,25846,1476,27322,0.9459776004684869
50300,21132,1422,22554,0.936951316839585
55100,1756,1044,2800,0.6271428571428571
55110,1520,629,2149,0.7073057235923685
55140,1752,287,2039,0.8592447278077489
55150,8023,602,8625,0.9302028985507247
55230,42647,1805,44452,0.9593944029514982
57300,14533,651,15184,0.9571259220231823
57640,1472,102,1574,0.9351969504447268
57690,6785,602,7387,0.9185054826045757
57900,3186,1419,4605,0.6918566775244299
58610,1661,530,2191,0.7581013235965313
61700,1240,222,1462,0.8481532147742818
63710,1517,207,1724,0.8799303944315545
64000,2824,381,3205,0.8811232449297972
65540,5827,644,6471,0.9004790604234276
65790,1510,201,1711,0.8825248392752776
65800,8697,641,9338,0.9313557506960806
65930,2922,1450,4372,0.6683440073193047
65980,7288,5176,12464,0.5847240051347882
67370,4981,515,5496,0.9062954876273653
70000,6729,1091,7820,0.8604859335038363
70300,5015,164,5179,0.9683336551457811
70400,5391,211,5602,0.9623348803998572
70600,2591,322,2913,0.8894610367318915
71230,1546,219,1765,0.8759206798866855
71260,983,97,1080,0.9101851851851852
71340,11778,850,12628,0.9326892619575546
72850,168324,9727,178051,0.9453695851188705
73170,1288,136,1424,0.9044943820224719
78000,2946,118,3064,0.9614882506527415
80310,896,110,1006,0.8906560636182903
91600,1657,174,1831,0.9049699617695248
91700,4481,846,5327,0.8411864088605219
92000,1097,735,1832,0.5987991266375546
92100,795,533,1328,0.598644578313253
92800,2122,95,2217,0.957149300857014
94300,1068,101,1169,0.913601368691189
94400,4596,527,5123,0.8971305875463595
95400,2659,238,2897,0.9178460476354849
96000,2840,363,3203,0.8866687480487043
96100,5901,966,6867,0.8593272171253823
97000,1211,118,1329,0.9112114371708051
97330,923,136,1059,0.8715769593956563
98200,937,108,1045,0.8966507177033493
98300,1073,122,1195,0.897907949790795
98400,2758,564,3322,0.8302227573750752
98800,3044,189,3233,0.9415403649860811
102500,10121,1365,11486,0.8811596726449591
102600,5026,185,5211,0.9644981769334101
102840,1525,352,1877,0.8124667021843367
104200,3428,594,4022,0.852312282446544
104900,15099,4463,19562,0.7718535937020754
105000,905,296,1201,0.7535387177352206
105450,23074,2423,25497,0.9049692120641644
105600,685943,13581,699524,0.9805853694798177
107100,23965,1151,25116,0.9541726389552476
107200,1851,151,2002,0.9245754245754245
107300,959,185,1144,0.8382867132867133
107310,2580,220,2800,0.9214285714285714
107410,142652,14639,157291,0.9069304664602552
108200,2302,225,2527,0.9109616145627226
108600,41950,4074,46024,0.9114809664522857
108710,23225,2427,25652,0.9053874941525027
108800,6879,1173,8052,0.8543219076005961
110800,17710,3094,20804,0.851278600269179
113020,3400,270,3670,0.9264305177111717
113200,37960,1812,39772,0.9544403097656643
115100,1975,109,2084,0.9476967370441459
115320,4800,1939,6739,0.7122718504229114
115800,2608,342,2950,0.8840677966101695
200010,1244,232,1476,0.8428184281842819
200170,3902,649,4551,0.8573939793451989
200260,27556,1348,28904,0.953362856352062
200510,30705,1804,32509,0.9445076747977483
200710,27028,1924,28952,0.9335451782260293
200900,3578,261,3839,0.932013545194061
201510,368,2124,2492,0.1476725521669342
201790,10738,727,11465,0.9365896205843872
201810,28726,3134,31860,0.9016321406151915
201870,8806,1502,10308,0.8542879317035312
202750,3285,1438,4723,0.6955325005293246
202970,10664,1957,12621,0.8449409713968782
203140,23565,2291,25856,0.9113938737623762
203160,120163,4899,125062,0.960827429594921
203750,2000,348,2348,0.8517887563884157
203770,27462,2306,29768,0.9225342649825315
203830,1365,219,1584,0.8617424242424242
204030,5405,470,5875,0.92
204060,996,268,1264,0.7879746835443038
204100,27283,4992,32275,0.8453292021688613
204120,1257,147,1404,0.8952991452991453
204180,1575,310,1885,0.8355437665782494
204240,2659,335,2994,0.8881095524382098
204300,10103,1728,11831,0.8539430310202012
204340,6973,831,7804,0.8935161455663763
204360,61596,2311,63907,0.9638380772059398
204530,1994,113,2107,0.9463692453725676
204630,1420,166,1586,0.8953341740226987
204880,8068,557,8625,0.9354202898550724
205100,46781,1294,48075,0.973083723348934
205650,1770,468,2238,0.7908847184986595
205910,2455,203,2658,0.9236267870579383
205950,3186,297,3483,0.9147286821705426
206190,8835,229,9064,0.9747352162400706
206420,48163,4917,53080,0.9073662396382819
206440,41991,1633,43624,0.962566477168531
207140,18193,1095,19288,0.9432289506428868
207170,3646,237,3883,0.9389647180015452
207320,1188,73,1261,0.9421094369547978
207350,2078,126,2204,0.9428312159709619
207490,2384,160,2544,0.9371069182389937
207690,3183,125,3308,0.9622128174123338
208140,5015,1277,6292,0.7970438652256834
208200,4602,788,5390,0.8538033395176252
208500,2083,167,2250,0.9257777777777778
208520,934,486,1420,0.6577464788732394
208580,15052,1084,16136,0.9328210213187903
208650,41038,5883,46921,0.874619040514908
208730,901,346,1247,0.7225340817963112
208750,2382,254,2636,0.9036418816388467
209000,19926,2896,22822,0.8731048987818771
209080,7582,692,8274,0.9163645153492869
209100,1635,1442,3077,0.531361715957101
209120,953,733,1686,0.5652431791221827
209160,4744,4016,8760,0.5415525114155251
209370,1500,83,1583,0.9475679090334808
209540,935,235,1170,0.7991452991452992
209650,5257,3585,8842,0.5945487446279122
209670,1493,308,1801,0.8289838978345364
210770,6510,489,6999,0.9301328761251607
210970,8940,1429,10369,0.8621853602083133
211260,1686,287,1973,0.8545362392295996
211400,6955,1817,8772,0.7928636570907432
211500,1481,196,1677,0.8831246273106739
211600,2092,166,2258,0.9264836138175376
211740,1217,76,1293,0.9412219644238206
211820,70362,6509,76871,0.9153256754823015
212010,797,268,1065,0.748356807511737
212630,2460,1227,3687,0.6672091131000814
212680,46675,2068,48743,0.9575733951541759
213330,2212,177,2389,0.9259104227710339
213610,8865,1250,10115,0.8764211566979733
213670,36017,943,36960,0.9744859307359307
213850,3095,579,3674,0.8424060968971149
214170,1988,278,2266,0.8773168578993822
214250,1406,714,2120,0.6632075471698113
214340,7030,963,7993,0.8795195796321782
214360,835,315,1150,0.7260869565217392
214490,30803,2505,33308,0.9247928425603459
214700,737,379,1116,0.660394265232975
214730,3875,227,4102,0.9446611409068747
214770,2674,180,2854,0.9369306236860546
214870,1758,519,2277,0.7720685111989459
214950,32240,5815,38055,0.8471948495598476
215160,1197,128,1325,0.9033962264150943
215280,3056,1225,4281,0.7138519037608035
215470,3751,1080,4831,0.7764438004553923
215510,1484,347,1831,0.8104860731840524
215530,5422,1066,6488,0.8356966707768188
215670,749,319,1068,0.701310861423221
216890,994,261,1255,0.7920318725099602
216910,863,289,1152,0.7491319444444444
217140,1164,556,1720,0.6767441860465117
217200,4770,278,5048,0.9449286846275753
217920,808,360,1168,0.6917808219178082
218060,1449,90,1539,0.9415204678362573
218410,2375,100,2475,0.9595959595959596
218620,315448,37911,353359,0.8927125105063123
218640,4894,1226,6120,0.7996732026143791
218680,5801,402,6203,0.935192648718362
218820,858,283,1141,0.7519719544259421
219150,56456,1469,57925,0.9746396201985326
219640,37798,7715,45513,0.83048799244172
219680,1040,246,1286,0.8087091757387247
219780,2501,506,3007,0.831725972730296
219830,2237,452,2689,0.8319077724060989
219890,10814,525,11339,0.9536996207778464
219910,1750,213,1963,0.891492613346918
219990,55206,3924,59130,0.9336377473363775
220160,1424,424,1848,0.7705627705627706
220200,75447,4114,79561,0.9482912482246326
220240,65165,7142,72307,0.9012267138727924
220260,3141,309,3450,0.9104347826086957
220440,12786,834,13620,0.9387665198237886
220660,513,688,1201,0.42714404662781014
220700,2596,157,2753,0.9429713040319652
220740,1571,159,1730,0.9080924855491329
220780,3367,227,3594,0.9368391764051196
220820,2012,378,2390,0.8418410041841005
220860,2002,300,2302,0.8696785403996524
221020,619,1666,2285,0.2708971553610503
221040,19711,4855,24566,0.8023691280631767
221100,168420,71041,239461,0.7033295609723504
221260,5151,236,5387,0.9561908297753852
221380,72107,3326,75433,0.9559078917715058
221540,1670,310,1980,0.8434343434343434
221640,16034,451,16485,0.9726417955717319
221680,9261,922,10183,0.9094569380339782
221810,1743,257,2000,0.8715
221910,33136,2758,35894,0.9231626455675043
222420,1422,193,1615,0.8804953560371517
222440,2264,128,2392,0.9464882943143813
222480,5173,780,5953,0.8689736267428187
222730,3377,942,4319,0.7818939569344756
222750,2873,401,3274,0.8775198533903482
222880,78247,6923,85170,0.9187155101561583
222940,5687,614,6301,0.9025551499761942
222980,1690,264,1954,0.8648925281473899
223100,5705,3537,9242,0.6172906297338239
223330,1125,400,1525,0.7377049180327869
223470,51988,2189,54177,0.9595954002621039
223810,1492,180,1672,0.8923444976076556
223830,2434,331,2765,0.8802893309222423
224460,3578,384,3962,0.9030792529025744
224480,6614,485,7099,0.9316805183828708
224500,2124,616,2740,0.7751824817518248
224600,1850,644,2494,0.7417802726543705
224760,8458,632,9090,0.9304730473047305
224820,1275,53,1328,0.9600903614457831
224920,1012,370,1382,0.7322720694645442
224960,2617,470,3087,0.8477486232588274
225080,30027,1706,31733,0.9462389310812088
225160,1989,193,2182,0.9115490375802017
225260,7937,496,8433,0.9411834459860073
225300,1268,195,1463,0.8667122351332878
225420,659,444,1103,0.5974614687216682
225540,63770,13521,77291,0.8250637202261583
225600,2041,920,2961,0.6892941573792638
225640,1407,431,1838,0.76550598476605
226580,1607,271,1878,0.8556975505857295
226620,895,113,1008,0.8878968253968254
226720,983,575,1558,0.6309370988446726
226840,4956,1121,6077,0.8155339805825242
226860,6026,1800,7826,0.7699974444160491
227000,2329,64,2393,0.973255328040117
227080,991,55,1046,0.9474187380497132
227100,2757,366,3123,0.882804995196926
227160,246,1108,1354,0.18168389955686853
227220,1115,143,1258,0.8863275039745628
227300,371909,9369,381278,0.9754273784482713
227580,1442,152,1594,0.904642409033877
227600,1797,210,2007,0.8953662182361734
227780,2115,201,2316,0.9132124352331606
227860,4127,2402,6529,0.6321029254097105
227940,1529,974,2503,0.6108669596484219
228200,6715,417,7132,0.9415311273135165
228260,1109,302,1411,0.7859673990077959
228280,8775,855,9630,0.9112149532710281
228300,7241,1444,8685,0.8337363270005756
228360,1536,101,1637,0.9383017715332926
228380,18555,3051,21606,0.8587892252152179
228760,985,251,1236,0.7969255663430421
230050,4385,598,4983,0.8799919727072045
230070,2189,493,2682,0.8161819537658463
230190,4472,742,5214,0.8576908323743767
230270,1870,76,1946,0.9609455292908531
230290,13113,596,13709,0.9565249106426436
230410,2578,322,2900,0.8889655172413793
230700,1290,304,1594,0.8092848180677541
230820,1892,210,2102,0.9000951474785919
231160,4138,277,4415,0.9372593431483579
231200,1745,369,2114,0.825449385052034
231330,833,296,1129,0.7378210806023029
231430,43020,10775,53795,0.7997025745887164
231740,1415,265,1680,0.8422619047619048
232010,4245,922,5167,0.8215598993613316
232050,978,481,1459,0.6703221384509939
232090,61992,7707,69699,0.8894245254594757
232430,9267,2775,12042,0.7695565520677629
232750,1387,485,1872,0.7409188034188035
232770,1921,332,2253,0.8526409232134932
232790,3344,701,4045,0.826699629171817
232890,5814,2429,8243,0.7053257309232076
232910,4193,566,4759,0.8810674511451986
233130,12287,903,13190,0.9315390447308567
233150,2763,234,2997,0.9219219219219219
233230,1059,365,1424,0.7436797752808989
233270,11410,1433,12843,0.8884217083236005
233290,8201,1282,9483,0.8648107139091005
233450,43932,4193,48125,0.9128727272727273
233470,3614,705,4319,0.8367677703172031
233550,1108,187,1295,0.8555984555984556
233610,4505,303,4808,0.9369800332778702
233720,10041,2043,12084,0.8309334657398213
233740,1858,207,2065,0.8997578692493947
233840,1193,345,1538,0.7756827048114434
233860,41067,2241,43308,0.9482543640897756
233980,4315,390,4705,0.9171094580233794
234080,4019,1033,5052,0.7955265241488519
234140,34771,3470,38241,0.9092596950916556
234190,2087,341,2428,0.8595551894563427
234270,3069,216,3285,0.9342465753424658
234630,6474,1844,8318,0.7783120942534263
234650,7528,967,8495,0.8861683343143025
234670,7484,894,8378,0.8932919551205538
235210,1439,229,1668,0.8627098321342925
235250,1271,169,1440,0.8826388888888889
235320,1244,84,1328,0.9367469879518072
235380,2542,1940,4482,0.5671575189647479
235460,18440,1283,19723,0.9349490442630431
235540,10072,2181,12253,0.8220027748306538
235600,11348,2259,13607,0.8339825090027192
235800,4036,896,4932,0.8183292781832928
236090,12055,529,12584,0.9579624920534011
236110,2019,955,2974,0.6788836583725623
236150,2042,872,2914,0.700754975978037
236370,2302,1838,4140,0.5560386473429951
236390,1216,440,1656,0.7342995169082126
236430,22812,2994,25806,0.883980469658219
236450,3707,137,3844,0.964360041623309
236510,1377,2037,3414,0.4033391915641476
236690,4395,1271,5666,0.7756794917049065
236850,60075,9757,69832,0.860278955206782
237630,4189,594,4783,0.8758101609868284
237740,2269,253,2522,0.8996827914353688
237850,2379,494,2873,0.8280542986425339
237870,3169,1912,5081,0.6236961228104704
237890,1136,444,1580,0.7189873417721518
237930,23589,1434,25023,0.9426927226951205
237990,10426,1299,11725,0.8892110874200426
238010,18070,1549,19619,0.9210459248687497
238090,13044,2924,15968,0.8168837675350702
238210,4610,238,4848,0.9509075907590759
238240,653,1286,1939,0.3367715317173801
238320,52399,1879,54278,0.9653819226942776
238370,5638,1246,6884,0.8190005810575247
238430,6673,2247,8920,0.7480941704035874
238460,46538,1357,47895,0.9716671886418207
238750,1734,949,2683,0.6462914647782333
238960,1004,82,1086,0.9244935543278084
239030,41707,1301,43008,0.9697498139880952
239070,3070,374,3444,0.8914053426248548
239120,1740,377,2117,0.821917808219178
239140,202003,10220,212223,0.9518431084283985
239160,10806,3686,14492,0.7456527739442451
239200,3629,1757,5386,0.6737838841440772
239250,2412,476,2888,0.8351800554016621
239800,1321,109,1430,0.9237762237762238
239820,31643,1540,33183,0.9535906940300757
239840,1372,476,1848,0.7424242424242424
240720,31080,6353,37433,0.830283439745679
240760,3736,800,4536,0.8236331569664903
241260,4106,423,4529,0.9066018988739236
241410,996,121,1117,0.891674127126231
241560,9145,4228,13373,0.6838405742914828
241600,13445,982,14427,0.9319331808414778
241910,1352,159,1511,0.8947716743878227
242050,39638,4726,44364,0.8934721846542242
242570,1035,441,1476,0.7012195121951219
242640,5479,1116,6595,0.8307808946171342
242680,10953,349,11302,0.9691205096443107
242700,7312,1148,8460,0.8643026004728133
242760,263107,13673,276780,0.9505997543175085
242820,1693,100,1793,0.9442275515895148
242840,1101,287,1388,0.7932276657060519
242860,23401,3406,26807,0.872943634125415
242880,2252,575,2827,0.7966041740360806
242920,24653,2820,27473,0.8973537655152332
243120,2092,471,2563,0.8162309793211081
243200,1482,171,1653,0.896551724137931
243450,995,193,1188,0.8375420875420876
243470,20943,7932,28875,0.7252987012987013
243800,2253,369,2622,0.8592677345537757
243930,1619,825,2444,0.6624386252045826
243950,1137,424,1561,0.7283792440743113
243970,3991,356,4347,0.9181044398435703
244030,914,728,1642,0.5566382460414129
244160,7561,995,8556,0.8837073398784479
244210,41028,3928,44956,0.9126256784411424
244430,927,128,1055,0.8786729857819905
244450,22362,2246,24608,0.9087288686605982
244710,2116,350,2466,0.8580697485806975
244730,981,109,1090,0.9
244770,1442,682,2124,0.6789077212806026
